"Scenario","Type","k","tau2","bias_type","true_mu","Method","Estimate","SE","CI_Lower","CI_Upper","Covered","k_final"
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.308187917534762,1.60086742397261,-3.44583041254449,2.82945457747496,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-1.91484497859099,1.52611316936564,-4.90597182687991,1.07628186969794,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-1.91484497859099,1.51383000406148,-5.33936636553751,1.50967640835554,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-1.86118710757507,1.54721784439179,-4.89367835882067,1.17130414367053,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.975824763292165,1.38640404385203,-3.69312675726284,1.74147723067851,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.975824763292165,1.22578855798996,-3.74875112982525,1.79710160324092,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.975912630572182,1.38795359860513,-3.69625169605101,1.74442643490664,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",1.03296888571909,1.40488750998149,-1.72056003617478,3.78649780761296,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",1.03296888571909,1.0623065930544,-1.37013558284667,3.43607335428486,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",1.04876477923031,1.41185828369458,-1.71842660808559,3.81595616654622,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-2.35458979619003,1.37149495597419,-5.0426705148778,0.333490922497739,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-2.35458979619003,1.12420268240633,-4.89771294663245,0.188533354252398,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-2.30250540503311,1.39956953434065,-5.04561128620028,0.440600476134049,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-2.08663481227274,1.82082688574376,-5.65538993041275,1.48212030586726,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-2.08663481227274,1.91776747844177,-6.42492625021124,2.25165662566575,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-1.74034561570032,1.65948336270917,-4.99287323955371,1.51218200815308,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-1.48074680766631,2.50854597809165,-6.39740657828875,3.43591296295613,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-1.48074680766631,2.48426373482889,-7.10054180968931,4.13904819435669,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.569743960313987,2.33131982689769,-5.1390468574776,3.99955893684963,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.665347723950326,1.38907985458513,-2.05719876268666,3.38789421058731,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.665347723950326,0.979352443481585,-1.55010142097547,2.88079686887612,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.679788539151307,1.40204682026002,-2.06817273319724,3.42774981149985,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-1.12923528682418,1.39053801902658,-3.85463972324995,1.5961691496016,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-1.12923528682418,1.36467579249563,-4.21634640571548,1.95787583206712,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.868075574562044,1.418072176438,-3.64744596785885,1.91129481873476,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.451731598874506,1.51949117465518,-2.52641637827612,3.42987957602513,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.451731598874506,1.53556250832377,-3.02195212825448,3.92541532600349,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.527250512313298,1.50302390064347,-2.41862220085081,3.4731232254774,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",1.70125299321193,1.75165870094235,-1.73193497384129,5.13444096026515,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",1.70125299321193,1.70477734418155,-2.15522128690447,5.55772727332832,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",1.29697031850264,1.69825079402038,-2.03154007449385,4.62548071149914,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",1.83007112223354,1.61467219264332,-1.33462822218568,4.99477046665276,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",1.83007112223354,1.65518593587037,-1.91421959835847,5.57436184282555,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",1.96567199079371,1.56947423872933,-1.1104409917792,5.04178497336663,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-3.0561648972897,1.50077681127707,-5.99763339622563,-0.114696398353772,FALSE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-3.0561648972897,1.07082635341192,-5.47854240277355,-0.633787391805847,FALSE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-2.81335573174223,1.53304996017986,-5.81807844019531,0.19136697671086,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",1.62351133610897,1.40388575309192,-1.12805417836008,4.37507685057801,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",1.62351133610897,1.44333759270836,-1.64154513757217,4.8885678097901,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",1.33724571584344,1.38363724510657,-1.37463345223366,4.04912488392054,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.274717392125585,1.64265610936868,-2.94482942122171,3.49426420547288,TRUE,10
